item,item_code,quantity,unit_price,total_sales_amount,date,type
pint lkft oktoberfest,3697,4.0,3.75,15.0,2020-01-10,beer
shot fireball,3584,3.0,4.0,12.0,2020-01-10,scotch/whiskey
shot pearl cucumber,3641,3.0,4.0,12.0,2020-01-10,vodka
dbl smirnoff,3646,3.0,6.0,18.0,2020-01-10,vodka
dbl jack d honey,3532,3.0,8.0,24.0,2020-01-10,scotch/whiskey
shot jack ds honey,3533,3.0,4.0,12.0,2020-01-10,scotch/whiskey
dbl makers mark,3534,3.0,8.6666666666667,26.0,2020-01-10,bourbon
shot bacardi limon,3495,3.0,3.0,9.0,2020-01-10,vodka
dbl korbel,3452,3.0,6.0,18.0,2020-01-10,brandy
diet coke - refill,3465,3.0,0.0,0.0,2020-01-10,nonalcoholic
bottle lkft fixed gear,3120,3.0,5.0,15.0,2020-01-10,beer
spicy popcorn shrimp,2864,3.0,6.0,18.0,2020-01-10,appetizers
thurs burger,2886,3.0,5.5,16.5,2020-01-10,burger
shrimp fry,2735,3.0,10.95,32.85,2020-01-10,fish
side sm nacho chez,2852,3.0,0.75,2.25,2020-01-10,side
hush puppies,2809,3.0,6.5,19.5,2020-01-10,appetizers
chili cheese poutine,2801,3.0,7.0,21.0,2020-01-10,appetizers
can press gf/car,3133,3.0,5.0,15.0,2020-01-10,hard seltzer
7-up,3147,3.0,1.5,4.5,2020-01-10,nonalcoholic
coffee,3153,3.0,1.5,4.5,2020-01-10,nonalcoholic
black manhattan,3194,3.0,8.0,24.0,2020-01-10,cocktail
shot car bomb,3269,3.0,6.0,18.0,2020-01-10,specialty shots
absolut,3286,3.0,8.0,24.0,2020-01-10,vodka
cocktail of the week,3250,3.0,6.0,18.0,2020-01-10,special
bag snacks,3246,2.0,0.375,0.75,2020-01-10,other
bulleit bourbon,3308,2.0,5.0,10.0,2020-01-10,bourbon
chardonnay,3331,2.0,5.0,10.0,2020-01-10,wine
pinot grigio,3333,2.0,5.0,10.0,2020-01-10,wine
pit lkft hazy rabbit,3359,2.0,15.0,30.0,2020-01-10,beer
texas cosmo,3211,2.0,8.0,16.0,2020-01-10,cocktail
trinidad tea,3213,2.0,8.0,16.0,2020-01-10,cocktail
tully peach tea,3214,2.0,8.0,16.0,2020-01-10,cocktail
tanqueray,3219,2.0,2.5,5.0,2020-01-10,gin
cranberry jc,3156,2.0,1.5,3.0,2020-01-10,nonalcoholic
diet coke,3158,2.0,1.5,3.0,2020-01-10,nonalcoholic
lemonade,3170,2.0,1.5,3.0,2020-01-10,nonalcoholic
can press lime,3132,2.0,5.0,10.0,2020-01-10,hard seltzer
bottle odouls,3125,2.0,3.25,6.5,2020-01-10,beer
side ranch,2815,2.0,0.25,0.5,2020-01-10,side
bowl soup,2713,2.0,4.0,8.0,2020-01-10,side
kung fu quesadilla,2870,2.0,6.0,12.0,2020-01-10,appetizers
fancy fries,2878,2.0,5.0,10.0,2020-01-10,side
shrimp tacos,2874,2.0,6.5,13.0,2020-01-10,fish
bottle lh milk stout,3119,2.0,6.0,12.0,2020-01-10,beer
breakfast burrito,3034,2.0,7.5,15.0,2020-01-10,breakfast
ham n swiss,3048,2.0,7.0,14.0,2020-01-10,sandwich
shot jose cuervo,3475,2.0,3.0,6.0,2020-01-10,tequila
dbl bombay sapphire,3486,2.0,8.0,16.0,2020-01-10,gin
dbl meyers dark,3504,2.0,6.0,12.0,2020-01-10,rum
shot baileys irish,3541,2.0,2.0,4.0,2020-01-10,liqueur
shot campari,3549,2.0,3.0,6.0,2020-01-10,liqueur
shot crown royal,3529,2.0,4.0,8.0,2020-01-10,scotch/whiskey
shot skyy watermelon,3674,2.0,3.0,6.0,2020-01-10,vodka
dbl skyy watermelon,3675,1.0,7.0,7.0,2020-01-10,vodka
dbl amaretto,3560,1.0,7.0,7.0,2020-01-10,liqueur
dbl bulleit bourbon,3587,1.0,8.0,8.0,2020-01-10,bourbon
dbl bulleit rye,3589,1.0,8.0,8.0,2020-01-10,scotch/whiskey
dbl absolut citron,3656,1.0,8.0,8.0,2020-01-10,vodka
dbl skyy cherry,3670,1.0,7.0,7.0,2020-01-10,vodka
shot absolut,3661,1.0,4.0,4.0,2020-01-10,vodka
7-up refill,3463,1.0,0.0,0.0,2020-01-10,nonalcoholic
shot bacardi,3493,1.0,3.0,3.0,2020-01-10,vodka
dbl tullamore dew,3536,1.0,8.0,8.0,2020-01-10,scotch/whiskey
shot jack daniels,3527,1.0,4.0,4.0,2020-01-10,scotch/whiskey
dbl crown royal,3528,1.0,8.0,8.0,2020-01-10,scotch/whiskey
dbl patron xo,3476,1.0,7.0,7.0,2020-01-10,tequila
shot patron xo,3477,1.0,4.0,4.0,2020-01-10,tequila
dbl cazadores reposado,3478,1.0,7.0,7.0,2020-01-10,tequila
dbl rail rum,3457,1.0,5.5,5.5,2020-01-10,rum
shot rail brandy,3447,1.0,3.0,3.0,2020-01-10,brandy
bottle blue moon,3113,1.0,4.5,4.5,2020-01-10,beer
breakfast sammy,3046,1.0,6.5,6.5,2020-01-10,breakfast
breakfast classic,3035,1.0,6.5,6.5,2020-01-10,breakfast
bottle mgd,3121,1.0,3.25,3.25,2020-01-10,beer
bottle eastside dark,3118,1.0,5.0,5.0,2020-01-10,beer
side sweet chili,2875,1.0,0.25,0.25,2020-01-10,side
chix caesar salad,2871,1.0,0.0,0.0,2020-01-10,salad
fancy tots,2883,1.0,5.0,5.0,2020-01-10,side
side sour cream,2750,1.0,0.25,0.25,2020-01-10,side
side horse mayo,2753,1.0,0.25,0.25,2020-01-10,side
pc pollack,2800,1.0,2.25,2.25,2020-01-10,fish
side jalapeno,2846,1.0,0.5,0.5,2020-01-10,side
side mayo,2849,1.0,0.25,0.25,2020-01-10,side
bottle spaten lager,3127,1.0,5.0,5.0,2020-01-10,beer
can schlitz 16oz,3134,1.0,4.0,4.0,2020-01-10,beer
seltzer,3180,1.0,1.5,1.5,2020-01-10,nonalcoholic
shirley temple,3182,1.0,1.75,1.75,2020-01-10,nonalcoholic
long island,3204,1.0,8.0,8.0,2020-01-10,cocktail
rail whiskey,3340,1.0,3.5,3.5,2020-01-10,scotch/whiskey
rail rum,3343,1.0,3.5,3.5,2020-01-10,rum
shot jager bomb,3274,1.0,5.0,5.0,2020-01-10,liqueur
cab/merlot,3329,1.0,5.0,5.0,2020-01-10,wine
shot rumpleminz,3242,1.0,4.0,4.0,2020-01-10,rum
bacardi,3255,1.0,4.0,4.0,2020-01-10,vodka
shot tullamore dew,3327,61.0,3.1475409836066,192.0,2021-01-15,scotch/whiskey
pint moon man,3349,28.0,2.5714285714286,72.0,2021-01-15,beer
pint spotted cow,3140,28.0,4.125,115.5,2021-01-15,beer
dbl rail vodka,3455,28.0,5.2321428571429,146.5,2021-01-15,vodka
pint miller high life,3137,27.0,3.0,81.0,2021-01-15,beer
shot seagrams vo,3325,23.0,2.3478260869565,54.0,2021-01-15,scotch/whiskey
grilled cheese,2734,20.0,3.0,60.0,2021-01-15,sandwich
shot cazadores reposado,3479,20.0,3.8,76.0,2021-01-15,tequila
skyy peach bomb,3367,18.0,4.0,72.0,2021-01-15,vodka
can pabst blue ribbon 16oz,3129,17.0,4.0,68.0,2021-01-15,beer
locust st wings full,2729,16.0,10.8125,173.0,2021-01-15,appetizers
shot fernet,3507,16.0,2.0,32.0,2021-01-15,liqueur
pint lkft hazy rabbit,3348,15.0,3.5,52.5,2021-01-15,beer
bottle miller high life,3122,15.0,3.25,48.75,2021-01-15,beer
locust st. wings half,2858,14.0,5.1785714285714,72.5,2021-01-15,appetizers
skyy cherry bomb,3370,14.0,2.2857142857143,32.0,2021-01-15,vodka
skyy orange bomb,3372,14.0,3.1428571428571,44.0,2021-01-15,vodka
shot skyy orange,3677,12.0,1.25,15.0,2021-01-15,vodka
fish fry,2722,12.0,10.625,127.5,2021-01-15,fish
combo fry,2736,12.0,13.666666666667,164.0,2021-01-15,fish
pint lkft ipa,3136,12.0,3.25,39.0,2021-01-15,beer
skyy apricot bomb,3368,12.0,2.3333333333333,28.0,2021-01-15,vodka
rail vodka,3339,11.0,2.8636363636364,31.5,2021-01-15,vodka
pint stein,3141,11.0,3.1363636363636,34.5,2021-01-15,beer
can coors light,3116,11.0,3.2727272727273,36.0,2021-01-15,beer
dbl rail tequila,3461,11.0,5.3636363636364,59.0,2021-01-15,tequila
